Customer_ID,product_name,price,rating,reviews,availability,purchase_date,quantity
C015,"2024 Newest 10 Inch Tablet with Keyboard, 12GB RAM 128GB ROM 1TB Expand, Octa-Core, 8000mAh Android 13 Tablets with 5G+2.4G WiFi, HD IPS Touchscreen, Case, Mouse, GPS, Split Screen, Metal Body (Black)",$119.99,5 out of 5,21 ratings,In Stock,"Reviewed in the United States on November 15, 2024",400+ boughtin past month
C016,"Android Tablet, 10.1 inch Android 13 Tablets 6GB RAM 64GB ROM 1TB Expand, 1280x800 IPS HD Touchscreen,6000mAh Battery, Bluetooth, Dual Camera, GMS, WiFi （Silver",$54.99 with 7 percent savings,3.8 out of 5,"1,454 ratings",In Stock,"Reviewed in the United States on September 27, 2024",500+ bought in past month
C017,"Android Tablet with Keyboard, Android 13 Tablet, 12(6+6)GB+128GB, 1TB Expand, 2 in 1 Tablet, 10 inch Tablet with Case, Mouse, Stylus, 8000mAh Battery, 2.4G/5G WiFi, GPS, Certified Tablet PC, Green",$99.99,4.1 out of 5,313 ratings,,"Reviewed in the United States on November 18, 2024",500+ bought in past month
C018,"10"" Tablet, 2024 Android 13 with Octa-core Processor, 8(4+4) GB&64GB Storage(Expand to 512GB), Metal Casing Upgrade, Dual Camera 5+13 MP Camera, WiFi 6&Bth 5, 5000mAh Battery",$89.99 with 64 percent savings,4.9 out of 5,30 ratings,,"Reviewed in the United States on November 26, 2024",1K+ boughtin past month
C019,"Latest 2024 Android 13 Tablet, 128GB+16(8+8 Expand)GB/512GB Expandable, Octa-Core Tablet with 5G WiFi, 8000mAh Battery, 10.1 inch Tablet with 21MP Camera, Tablet with Keyboard, Bluetooth, Mouse, Case.",$199.99,4.3 out of 5,"1,340 ratings",In Stock,"Reviewed in the United States on July 15, 2024",3K+ boughtin past month
C020,"2024 Tablet 10 inch Android 13 Tablets Octa-Core Processor, 8GB+64GB 1TB Expand, 6000mAh Battery, 2.4G+5G Wi-Fi 6, 2MP+8MP Dual Camera, Bluetooth, 1280 * 800 FHD IPS Touch Screen (Gray)",$59.99,4.5 out of 5,30 ratings,In Stock,"Reviewed in the United States on March 19, 2021",300+ boughtin past month
C021,"Lenovo Tab M9-2023 - Tablet - Long Battery Life - 9"" HD - Front 2MP & Rear 8MP Camera - 3GB Memory - 32GB Storage - Android 12 or Later - Folio Case Included,Gray",$126.00 with 16 percent savings,4.3 out of 5,"1,077 ratings",In Stock,"Reviewed in the United States on October 14, 2024",1K+ bought in past month
C022,"Amazon Fire 7 Kids tablet (newest model) ages 3-7. Top-selling 7"" kids tablet on Amazon. Includes 6 months of ad-free and exclusive content, easy parental controls, 10-hr battery, 16 GB, Blue",,4.4 out of 5,"21,886 ratings",Not Available,"Reviewed in the United States on November 16, 2024",
C023,"Amazon Basics USB Condenser Microphone for Streaming, Recording, and Podcasting on PC, Plug and Play, Cardioid Pickup, Adjustable Stand with 360° Rotation, 5.8 x 3.4 inches, Black",$34.64,4.4 out of 5 stars,75 ratings,In Stock,"Reviewed in the United States on October 26, 2024",500+ boughtin past month
C024,"Turtle Beach Stealth 600 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4, Mobile – Bluetooth, 80-Hr Battery, AI Noise-Cancelling Mic – Black",$84.99,4.0 out of 5 stars,771 ratings,In Stock,"Reviewed in the United States on June 9, 2024",20K+ bought in past month
